"","vote_account","minimum_stake","avg_stake","avg_dc_concentration","avg_skip_rate","avg_grace_skip_rate","max_commission","avg_adjusted_credits","dc_aso","mnde_votes","target_stake_self","normalized_dc_concentration","normalized_grace_skip_rate","normalized_adjusted_credits","score","eligible_algo_stake","rank","in_algo_stake_set","eligible_mnde_stake","mnde_power","target_stake_mnde","target_stake_algo","target_stake"
"1224","8ygeLBNceokp2HfjUdg3pzii8MaqmHpAuuh3S5yvJVph",44772.901238909,75185.6953605347,0.125278254745541,0.207456030897207,0.0863938108381293,10,300818.07,"OVH SAS",0,0,0.370569041681315,0.881644363499275,0.809763497580546,0.747724417128259,TRUE,1311,FALSE,FALSE,0,0,0,0
"1215","FcoY4fMpb8UPgbqJAbkUU5z3YT7YmpoKUM2jGdunT95G",42462.847361671,51648.1345992917,0.125278254745541,0.399498446814623,0.0940435579939419,10,301109.13,"OVH SAS",0,0,0.370569041681315,0.871164553835685,0.810546993610575,0.747520967177235,TRUE,1312,FALSE,FALSE,0,0,0,0
"1234","2cRtnW1f6b8GSTWENTr2pQ1Bobz9QmCdq1oVyCmSmV1n",60441.144306336,63213.8424340893,0.125278254745541,0.105277132782938,0.076757420291135,10,300139.47,"OVH SAS",0,0,0.370569041681315,0.894845785287417,0.807936793787592,0.747334754348151,TRUE,1313,FALSE,FALSE,0,0,0,0
"1219","DKnZkpsqtS4kpFP5zWudrg8w9eCUHixJ2QCRtwwxh8Me",25115.756684232,25411.6426481374,0.125278254745541,0.576428571428572,0.0940435579939419,10,300983.31,"OVH SAS",0,0,0.370569041681315,0.871164553835685,0.810208302376815,0.747260435458958,TRUE,1314,FALSE,FALSE,0,0,0,0
"1229","8AShJVwfs9MjHAA5MxRb3QUdt1KZQhwiHip8XdeiogbX",44044.179823405,73336.9410896972,0.125278254745541,0.276108736395027,0.0851160748190479,10,300416.76,"OVH SAS",0,0,0.370569041681315,0.883394804397195,0.808683222751265,0.74702808579019,TRUE,1315,FALSE,FALSE,0,0,0,0
"1236","3yoaBCgeuNNCK7SWqUdSvbjKZdj9BeN3neQc647oUV8g",79676.174730165,82264.4373203504,0.125278254745541,0.115112254798588,0.0811506213610889,10,300036.6,"OVH SAS",0,0,0.370569041681315,0.888827297344058,0.807659880997758,0.74665878389879,TRUE,1316,FALSE,FALSE,0,0,0,0
"1230","sRMFc8dQFS5QU8j4LoRavfg3pPQu8EXX8L8EwchedNS",79036.974314832,81421.3666186891,0.125278254745541,0.237765834184262,0.0923272099971525,10,300367.35,"OVH SAS",0,0,0.370569041681315,0.873515873422655,0.808550217395518,0.746165856210805,TRUE,1317,FALSE,FALSE,0,0,0,0
"1250","D8JseWSLBgcim3yMKe2gvbNCkZ4x7PYcGVrXxJVG5JqU",44249.166057478,74012.5080013966,0.125278254745541,0.209295818312123,0.0784349664074908,10,299364.57,"OVH SAS",0,0,0.370569041681315,0.89254762253207,0.805850862798555,0.745553410298481,TRUE,1318,FALSE,FALSE,0,0,0,0
"1270","EVAL7czqdRyVc3Wi61ocWc7FkwVV56fbiXXM6hMx4TNB",25114.128246459,54948.0088440018,0.125278254745541,0.0830418513599291,0.0610901220483007,10,298268.91,"OVH SAS",0,0,0.370569041681315,0.916309279463541,0.802901487204998,0.745112479605857,TRUE,1319,FALSE,FALSE,0,0,0,0
"1303","52HBJgFBWwMSk6maAqMshgc1iniQKrRiTgXsQCCT66XA",79055.371411079,81421.1296385854,0.113599036989963,0.176859699385872,0.0928771131218452,10,295431.48,"HVC-AS",0,0,0.429248508754333,0.872762530865991,0.795263491120055,0.744914958428862,TRUE,1320,FALSE,FALSE,0,0,0,0
"1248","8BCSZyw28kK3pt3DTNKoVysjMggakuPpE2WB3pTcWGim",43946.071143805,77301.7451676397,0.125278254745541,0.257409430846931,0.0932724736386276,10,299619.36,"OVH SAS",0,0,0.370569041681315,0.872220904733783,0.80653672466034,0.744517402669216,TRUE,1321,FALSE,FALSE,0,0,0,0
"1272","3YdhWTVMJ1SrouL2ym5LVmj3pYc6EYAwnXwguvccCACp",79560.568229555,82143.5888347656,0.125278254745541,0.134855301861881,0.0678432718556123,10,298177.02,"OVH SAS",0,0,0.370569041681315,0.907057767855531,0.802654131160886,0.744210550986694,TRUE,1322,FALSE,FALSE,0,0,0,0
"1263","9R6U2y1EJShzUj3uRiTjo9ajhJE7jwiF9d6M1M7MR5CZ",25176.122287564,51431.0719463116,0.125278254745541,0.3056321410143,0.0754145554448284,10,298515.42,"OVH SAS",0,0,0.370569041681315,0.896685449750382,0.803565060373287,0.744113395141991,TRUE,1323,FALSE,FALSE,0,0,0,0
"1285","EoMcV8x78aGZYN3RSW8xk311Q8xKNHMXF94UJaEzsMoW",79565.400565118,82151.2389323162,0.125278254745541,0.0509524218942372,0.0494708007551845,10,297110.97,"OVH SAS",0,0,0.370569041681315,0.932227227219426,0.799784461873413,0.743939225332014,TRUE,1324,FALSE,FALSE,0,0,0,0
"1277","jVYhgtviF8DjxGQp3JYS6YZXoXA2LontoxK9cqQmjq3",79709.990950187,82382.6502145639,0.125278254745541,0.0833505791500643,0.0668407964673727,10,297948.6,"OVH SAS",0,0,0.370569041681315,0.908431114065177,0.802039253942515,0.74384321052715,TRUE,1325,FALSE,FALSE,0,0,0,0
"1264","4ysUQbvWDjUdRprcjaBEH4V2VqPJgrPSwRsS6ATTMbiB",79878.465698903,82121.4549456902,0.125278254745541,0.110559350319342,0.077975463934894,10,298476.9,"OVH SAS",0,0,0.370569041681315,0.893177120259862,0.803461369494854,0.743763761428541,TRUE,1326,FALSE,FALSE,0,0,0,0
"1256","2xbyEQbQWogd8Ltadv8GnG58NiJc7KE4RRc4dL3pnnLJ",25115.895665795,47728.8407570688,0.125278254745541,0.271354723707665,0.089623924076005,10,298990.53,"OVH SAS",0,0,0.370569041681315,0.877219253592334,0.804843995296763,0.743599791532507,TRUE,1327,FALSE,FALSE,0,0,0,0
"1275","6qNTGdRkDbMKAkzspCT3BrBvDNq1Cbhkig9bS9h6UdRi",79352.696682249,81752.8241065723,0.125278254745541,0.102506340151077,0.0722362817253689,10,298050.93,"OVH SAS",0,0,0.370569041681315,0.901039541847847,0.802314713121903,0.743486519725347,TRUE,1328,FALSE,FALSE,0,0,0,0
"1288","8KokPGKTfneh2YZtd7iFMqnAsdoErKRmLTFrtHmTGUsB",79712.395401632,82300.1100814953,0.125278254745541,0.0802789871987442,0.0530581596139634,10,296874.45,"OVH SAS",0,0,0.370569041681315,0.927312706873949,0.799147780498362,0.743071430401554,TRUE,1329,FALSE,FALSE,0,0,0,0
"1261","DgHgHL2j53ugB4whBJh21MYLKmyaW9jrCzVM87E7zgVe",41410.067106372,54517.6806875034,0.125278254745541,0.439046549425806,0.0940435579939419,9,298698.309,"OVH SAS",0,0,0.370569041681315,0.871164553835685,0.804057374004277,0.742528952095468,TRUE,1330,FALSE,FALSE,0,0,0,0
"1269","4SzV3GRjEFXZ53LmJ5kbbi7MMNKux52DHnAy14ypqoP9",25145.468369569,48136.7889262855,0.125278254745541,0.330444072835377,0.087819449002054,10,298323.63,"OVH SAS",0,0,0.370569041681315,0.879691303312739,0.80304878639679,0.742409019280252,TRUE,1331,FALSE,FALSE,0,0,0,0
"121","C5Tof5G3wNY1qg2z9HMfVrpQmvjUiaGj5SuYTYWeWWsm",118186.630066388,120301.723663064,0.199034148368202,0.049513059676207,0.0488075053117566,5,323630.99,"TERASWITCH",0,0,0,0.933135912154531,0.8711729398033,0.741912716168271,TRUE,1332,FALSE,FALSE,0,0,0,0
"1268","C31ocJKVAi8wxCvyAMjXte2fY9zECV2fKrn786F4WZ4N",42264.616988489,58893.9576430511,0.125278254745541,0.401573802014978,0.0940435579939419,10,298347.39,"OVH SAS",0,0,0.370569041681315,0.871164553835685,0.803112745256385,0.741802314597089,TRUE,1333,FALSE,FALSE,0,0,0,0
"1271","8cKzJdvB1imSKAg1SeY6yMmNDgVkxhtqMcuZgiyWQTmx",79665.256637779,82002.3343729408,0.125278254745541,0.141602447139372,0.0915696342395767,10,298218.51,"OVH SAS",0,0,0.370569041681315,0.874553718149211,0.802765816896768,0.741796151575348,TRUE,1334,FALSE,FALSE,0,0,0,0
"1310","EhbRyotQz2jV44KWA245t6yAEgsWcDPuFdwTm1VwED57",78967.996908715,81370.3083183264,0.125278254745541,0.0483430312004144,0.0247895842090945,10,294717.06,"OVH SAS",0,0,0.370569041681315,0.966039384196711,0.793340364500895,0.741583162505253,TRUE,1335,FALSE,FALSE,0,0,0,0
"1304","3YCCGCuCicRggDgdK3ixZWXNPVRYfQxvytDUgHFrRFJ4",25157.809103179,50917.2008947944,0.125278254745541,0.0728020345667405,0.0416205798120841,10,295416.18,"OVH SAS",0,0,0.370569041681315,0.942981676958109,0.795222305490771,0.741257139632958,TRUE,1336,FALSE,FALSE,0,0,0,0
"128","ExArtqMtiiuwjReNHtjjuA246ydbvdKoyt7dMnjdpmpB",63463.339873732,70545.6079798608,0.199034148368202,0.0435857171151289,0.0434222911991137,10,321766.2,"TERASWITCH",0,0,0,0.940513413364528,0.866153165317501,0.738618851272272,TRUE,1337,FALSE,FALSE,0,0,0,0
"1290","s2VZdgVB1GkLy9y6N8CwEyD35bomuvxSkc4e8affvt9",44230.634422888,59014.6050489593,0.125278254745541,0.366776476003149,0.0940435579939419,10,296760.78,"OVH SAS",0,0,0.370569041681315,0.871164553835685,0.798841795499622,0.738516968630349,TRUE,1338,FALSE,FALSE,0,0,0,0
"126","5tq4wWgnwRiJVU6nakZrBCZJ63pMEZJxmVrL2WnZ6yQv",48649.428401715,56682.867553757,0.199034148368202,0.0996798462974934,0.0519711425899756,6,322128.412,"TERASWITCH",2.9207425e+15,0,0,0.928801871323498,0.867128193366799,0.738467984999345,TRUE,1339,FALSE,FALSE,0,0,0,0
"1302","F9aNzPaK4SBWSFf5CfvQmYsPGQ7GWU7Mg4P8mmjkMu7q",25115.47678821,43344.3759753402,0.125278254745541,0.282918233082707,0.0706619669084216,10,295488.54,"OVH SAS",0,0,0.370569041681315,0.90319628236438,0.795417089290444,0.738346558356266,TRUE,1340,FALSE,FALSE,0,0,0,0
"1421","DfpdmTsSCBPxCDwZwgBMfjjV8mF8xHkGRcXP8dJBVmrq",94466.318640622,160198.441189723,0.0023958231499068,0.517589809480879,0.364701871652529,7,264136.647,"ORACLE-BMC-31898",2981404999102377,0,0.987962753278524,0.500374833177395,0.711021831613766,0.737424511990162,TRUE,1341,FALSE,FALSE,0,0,0,0
"1297","E74UNkBYXsaea3nYHva2naEFq6APapkkRcjDQLpwXciN",44245.487197296,77616.5877542501,0.125278254745541,0.26857742700134,0.0940435579939419,10,296221.68,"OVH SAS",0,0,0.370569041681315,0.871164553835685,0.797390607738376,0.737400670352467,TRUE,1342,FALSE,FALSE,0,0,0,0
