vote_account,max_commission,marinade_stake,version,score_credits,score_block_production,score_inflation_commission,score_mev_commission,score_country_concentration,score_city_concentration,score_aso_concentration,score_node_concentration,score,ui_hints,blacklisted,eligible_stake_algo,eligible_bonus,in_algo_stake_set,msol_votes,vemnde_votes,rank,target_stake_vemnde,target_stake_msol,target_stake_algo,target_stake
"9cn49HT2MVjUQtrFQU6WJ29w5THLuHLCjawuEzQf5rVH","7","0","1.17.33","0.9626807730393864","1","0.93","0","0.6558584113220238","0.9924031095238474","0.9830099451077194","1","0.9387220858722688","NO_BOND","0","0","0","1","0","0","1055","0","0","0","0"
"6rC1zg98a89eQurdnvXz6uJ3zZZa2f683WwCDB41Us8w","7","0","1.17.33","0.9620900085511859","1","0.93","0","0.6558584113220238","0.9933099853907712","0.9830099451077194","1","0.9386192788631967","NO_BOND","0","0","0","1","0","0","1056","0","0","0","0"
"51JBzSTU5rAM8gLAVQKgp4WoZerQcSqWC7BitBzgUNAm","10","0","1.17.31","0.9888060801320897","1","0.9","0.9","0.8485224845348388","0.8633308897961168","0.9306584701238049","0.8492672860283215","0.9385892545913158","COMMISSION,NO_BOND","0","0","0","1","0","0","1057","0","0","0","0"
"5bjKPhoQDcpPVeMhu83SEtXqXA9vw62k7KhL9zpsK31b","7","0","1.17.33","0.9668151731994011","1","0.93","0","0.6558584113220238","0.9841469812120919","0.9777212788375453","1","0.938574374633049","NO_BOND","0","0","0","1","0","0","1058","0","0","0","0"
"7TxqpzzpayaU3F9kVSdgpEc4gfV2UZhCJHJSPftiw7Q5","7","0","1.17.31","0.9664923147038197","1","0.93","0","0.6558584113220238","0.9841469812120919","0.9777212788375453","1","0.9384702267312484","NO_BOND","0","0","0","1","0","0","1059","0","0","0","0"
"F5b1wSUtpaYDnpjLQonCZC7iyFvizLcNqTactZbwSEXK","0","95.78663163200001","1.17.31","0.9960894511948402","1","1","1","0.8495379377555894","0.9913272953509823","0.9414449114582857","0.3432747144727749","0.9382671402674587","NO_BOND","0","0","0","1","3.436924833","0","1060","0","0","0","0"
"8cKzJdvB1imSKAg1SeY6yMmNDgVkxhtqMcuZgiyWQTmx","7","0","1.17.33","0.9621693696016752","1","0.93","0","0.6558584113220238","0.9714483208931378","0.996471609508154","1","0.9382662232055752","NO_BOND","0","0","0","1","0","0","1061","0","0","0","0"
"4MU64AyHBkRBUAYgAm91sP5vFgzUUgFHuS82CVhE8Q2Q","7","0","1.17.33","0.9607923095816959","1","0.93","0","0.6558584113220238","0.9933099853907712","0.9830099451077194","1","0.9382006662923934","NO_BOND","0","0","0","1","0","0","1062","0","0","0","0"
"97im1Mxgn8FFcwhoVoqgGc7QegAokpQS2sxzrPVggKA3","7","0","1.17.33","0.9743536282437696","0.9723371741044212","0.93","0.01","0.6558584113220238","0.9924031095238474","0.9830099451077194","1","0.9381636156324604","NO_BOND","0","0","0","1","0","0","1063","0","0","0","0"
"6QbXuFT59Gu9ihxPmUcLFpTfgXwaSxoJPUTcEDkidPAE","7","0","1.17.31","0.9654446142141657","1","0.93","0","0.6558584113220238","0.9841469812120919","0.9777212788375453","1","0.9381322588313601","NO_BOND","0","0","0","1","0","0","1064","0","0","0","0"
"6H2opQ2ebr3B6PPnjVFoMQK8pFiJhjb6AqWTjAYGqLYH","7","0","1.17.33","0.960459186274699","1","0.93","0","0.6558584113220238","0.9933099853907712","0.9830099451077194","1","0.9380932071611041","NO_BOND","0","0","0","1","0","0","1065","0","0","0","0"
"9SGUxCqs4fpRCRuVKyfqoZxkBSSXgH37ca6XfyLsK31F","7","0","1.17.33","0.9692610160302825","1","0.93","0","0.6558584113220238","0.9698973561702599","0.9777212788375453","1","0.9379843602196076","NO_BOND","0","0","0","1","0","0","1066","0","0","0","0"
"DriFTm3wM9ugxhCA1K3wVQMSdC4Dv4LNmyZMmZiuHRpp","7","36.519592998","1.17.31","0.9978523384025972","1","0.93","0.92","0.8736031345949249","0.8768518605132489","0.7686043232957861","1","0.9379493396109263","NO_BOND","0","0","0","1","0","1.821713394","1067","0","0","0","0"
"2WKHhJ34gNkw1G8iReLXn8roPfQUjsLyzjWHspNdvbFw","7","0","1.17.31","0.9164741960282423","1","0.93","0","0.9542436011002214","0.992828001579604","0.9414449114582857","1","0.937745284292091","NO_BOND","0","0","0","1","0","0","1068","0","0","0","0"
