vote_account,minimum_stake,avg_stake,avg_dc_concentration,avg_skip_rate,avg_grace_skip_rate,max_commission,avg_adjusted_credits,dc_aso,mnde_votes,marinade_stake,version,target_stake_msol,normalized_dc_concentration,normalized_grace_skip_rate,normalized_adjusted_credits,rank_dc_concentration,rank_grace_skip_rate,rank_adjusted_credits,score,blacklisted,ui_hints,eligible_stake_algo,eligible_stake_msol,rank,in_algo_stake_set,eligible_stake_mnde,mnde_power,target_stake_mnde,target_stake_algo,target_stake
6mBPtjzc3tWBSDFvJEBnidhpf3bqPoLk7nP9STWyzdzv,18351.243674069,29414.7299009101,0.00267576805883141,0.0109243697478992,0.00440074753144581,8,377520.068,HVC-AS,0,24642.818239461,1.13.5,0,0.985509563588938,0.992354435750197,0.907036179569682,153,155,159,0.925671950663453,0,"",1,1,72,1,1,0,0,25403,25403
HTtwGKgQgsQCAFDPBgN7LabHTMEkUpmTnFqEo5cBcquR,88637.945422684,99917.4809024951,0.00373646878141411,0.0206581266550192,0.013864313007417,8,378313.66,OOO NIIR-RadioNet,0,24731.203107153,1.13.7,0,0.979765412364387,0.975913070422661,0.908942877297383,224,1054,155,0.924990205240405,0,"",1,1,76,1,1,0,0,25384,25384
FKsC411dik9ktS6xPADxs4Fk2SCENvAiuccQHLAPndvk,5840171.37515997,5880981.13219567,0.0149130215216746,0.0131807717819109,0.0131807717819109,7,383025.708,firstcolo GmbH,0,24588.856937453,1.13.7,0,0.919239565872163,0.97710060920321,0.920264124505541,496,1000,127,0.924478537384842,0,"",1,1,77,1,1,0,0,25370,25370
E8P6asEbbkar5kMLHpCGswDgny8PwBqjRTVxdTmV8XEE,18439.706474475,63405.2807074873,0.000641605360099295,0.078970906544436,0.0151401364136148,8,376598.412,LEVEL3,0,24710.05467194,1.13.7,0,0.996525430655011,0.973696540218693,0.904821793082769,81,1153,165,0.924228102488954,0,"",1,1,78,1,1,0,0,25363,25363
CertuszpSb9Qb8v5HhndmSdCC3WoKAiFoBEXmNhjJPUg,678736.346920138,681354.289418172,0.0801697579381871,0.00987925390884937,0.00987925390884937,0,411985.2,PACKET,0,24683.494264412,1.13.7,0,0.565846234071245,0.982836445408308,0.989842695851737,1058,675,20,0.924073528620629,0,"",1,1,79,1,1,0,0,25359,25359
6559KMdiUseNSAkRcK9WcFcNTppoj6jWtKVedpMkBYCn,119265.278887166,122584.973323012,0.030826883452195,0.0201470676616672,0.0139736548811265,5,389994.76,LATITUDE-SH,0,24810.345232311,1.13.7,0,0.833059149898688,0.975723107168767,0.937008088170282,769,1065,95,0.923994022205305,0,"",1,1,80,1,1,0,0,25357,25357
We11J5D4iXcNbdMwCZX2o9RRkwaWBo1AGLADfubmeTb,80343.229624513,93060.1977726654,0.00267576805883141,0.011360453272218,0.00865936012707618,10,376768.32,HVC-AS,0,25172.637223198,1.13.7,0,0.985509563588938,0.984955807225781,0.905230016952866,153,554,164,0.923713469533255,0,"",1,1,81,1,1,0,0,25349,25349
8rcrC8sc3kATiFM3w8oWSbJTDxtGJZuPhLKmpWL4XYr4,11074.510220467,24026.3375647511,0.030826883452195,0,0,5,388360.855,LATITUDE-SH,0,24792.401283777,1.13.7,0,0.833059149898688,1,0.933082440040287,769,1,112,0.92284174616925,0,"",1,1,83,1,1,0,0,25325,25325
LunaFpQkZsZVJL2P2BUqNDJqyVYqrw9buQnjQtMLXdK,184584.062011098,196621.102032893,0.000740822559114653,0.0568750042825085,0.0568750042825085,8,378862.256,VeloxServ Communications Ltd,0,24771.298120669,1.13.7,0,0.995988126792492,0.901189173806828,0.910260943440471,87,1703,146,0.922751912445886,0,"",1,1,84,1,1,0,0,25323,25323
BFx4GGeS6s66HGux6oy7jMwiKPu6sUAJrzhK89wHun6R,92373.853156133,103681.660501815,0.00272956465701015,0.0251812340738971,0.0103676553706876,8,376307.508,PERFECT-INTERNATIONAL,0,24749.599231133,1.13.7,0,0.98521823184123,0.981987929393813,0.904122862151284,166,728,166,0.922588693429932,0,"",1,1,85,1,1,0,0,25318,25318
GvZEwtCHZ7YtCkQCaLRVEXsyVvQkRDhJhQgB6akPme1e,2827232.16864629,2888673.07733838,0.0801697579381871,0.0134655266228155,0.0134655266228155,0,411325.8,PACKET,0,23921.783804977,1.14.17,0,0.565846234071245,0.976605895199277,0.988258410120977,1058,1022,26,0.922375574196272,0,"",1,1,86,1,1,0,0,25312,25312
5bTe8MuMyP1A1ahXHpAkFrhQybNEQuKgU5QhpnQRKxuQ,94684.321563213,103732.690494676,0.0189381817683927,0.0174066142191142,0.0114216605362857,7,382865.004,RELIABLESITE,0,24956.542288021,1.13.7,0,0.897441589621234,0.980156771356316,0.919878014323442,587,825,130,0.921063084141016,0,"",1,1,89,1,1,0,0,25276,25276
KXMGa7fRW78c6VVND6YwPbR9sEu8V3q9QL3ctLDioAT,86584.113987003,97448.5023654219,0.0115630943555278,0.010244227994228,0.00844692510422483,8,378640.812,Inetcom LLC,0,24578.298956085,1.13.7,0,0.937380864189304,0.985324877617689,0.909728898294334,362,528,150,0.919798122226126,0,"",1,1,90,1,1,0,0,25242,25242
27MtjMSAQ2BGkXNuJEJkxFyCJT8dugGAaHJ9T7Gc6x4x,102281.537102589,112324.984687801,0.0275007998286784,0.0113648838977786,0.00886874720957581,6,385386.934,IS-AS-1,0,25315.436877216,1.13.7,0,0.851071325163795,0.984592032121463,0.925937246523894,639,577,122,0.918931319052922,0,"",1,1,91,1,1,0,0,25218,25218
4aFj9VyXDrqU4TnKWnMVuPaAVTaF4GZLLKZN2iZivW29,76749.342494034,103663.024165033,0.000262892700436123,0.0927922890207373,0.0108200733033595,10,373146.053,24SHELLS,0,0,1.13.7,0,0.998576322807192,0.981201928754765,0.896527096235387,30,765,176,0.918740425901771,0,"",1,1,92,1,1,0,0,25213,25213
2nvpHkLkMeaa1G2QgHMLzvoStXwBzV5LR4nyiZqNYgFA,12844.024882666,24188.7210753525,0.0000613492885975207,0.0166666666666667,0.00206081161676296,7,372258.261,MIkhail Lavkin,0,24906.539733858,1.13.7,0,0.999667767180959,0.996419683812781,0.894394071974721,6,60,182,0.918438149070916,0,"",1,1,93,1,1,0,0,25204,25204
