vote_account,vemnde_votes
AS3nKBQfKs8fJ8ncyHrdvo4FDT6S8HMRhD75JjCcyr1t,11
ASfKFAKz6fH4eip1jdLGt5Ym954kU9KYnwq2Csn9ogSz,0
AXA7ztxJGz77RHmocYQ6MEbPYHbpc3TmhtQqZGrdzqo1,10540.78393459
Ac8zL56RqrEwZcJa2HL7ZVCBW8py1ehVYj5qmfJXcdFQ,0
AnoFcEWKt7j9UuyvuNsJDbaRPrfo5LqpjvbxqQPswxn4,1.505856077
AuBB9st3RqhHBkzZgBSm6SVnHZNJQSHeBWCSkik4bzdA,0
Azc2uttGtHsRLorfQzd7tsMNtfaEg7LyvVEMVtckPCNN,50
B1w6SZcyvjyp6zEyStcc8u9AxXAh2AbYvNzMmP9rRKE9,36506.900745491
B6nDYYLc2iwYqY3zdmavMmU9GjUL2hf79MkufviM2bXv,42.29664859499999
B9NiU9ZL3Jo2WkZA1X35sSpeyZXxLJpBi7B5Sah7zUQJ,1521.107175946
BARLL1NvF3jPHQ3zb82q1v5m6uewcpkgRBYVNufQMWjo,26.860664305
BH7asDZbKkTmT3UWiNfmMVRgQEEpXoVThGPmQfgWwDhg,0
BLADE1qNA1uNjRgER6DtUFf7FU3c1TWLLdpPeEcKatZ2,3.0498534829999997
BSRRvjdKd8SHApi3KtTGbzrdhUojitiwAt4xt4nAxbFh,5.950678041
BWkvytz3MAiLkUbMuYK5yV1VYThbBYYQYG3gdef8NLw5,1505.919166836
BXf5pMTSWJdfwaiRYpwJjkTUuUe2sdvcJx7X7UNbyGe1,0
BeSov1og3sEYyH9JY3ap7QcQDvVX8f4sugfNPf9YLkcV,0
BeachiopjxQxL7CaHNSZsynApiZCKx9QFVtcWNz3jDBo,0
BmtE4BoqFZy7MDtN79EXrdaphRSqzwmEb2Kuq8xHPXpY,2566.600290167
BxFf75Vtzro2Hy3coFHKxFMZo5au8W7J8BmLC3gCMotU,0
C2KtdF4FBNybpJrAW9p57SRxv1cqH7EAFeJPJ9J3biLi,0
C4MqmofwTAQKYjRawSSN9NhKXd7J78tPnZGLyNSXV2To,0
C9YVc5dBPRbmyi8tPJKnrBuVwXeULby1eGXWvUVv866a,21.51742803
CAf8jfgqhia5VNrEF4A7Y9VLD3numMq9DVSceq7cPhNY,0
CULmqn9u8zZGorkdY74353UBNUhZK7s7oiZS6KN6sFnz,1.034357827
Cc7UtVq4G25VbC3w6Ccs2XL2xikjc926q1sHp8zfddoL,0
CcaHc2L43ZWjwCHART3oZoJvHLAe9hzT2DJNUpBzoTN1,1.316841251
CertusDeBmqN8ZawdkxK5kFGMwBXdudvWHYwtNgNhvLu,0
Chorus6Kis8tFHA7AowrPMcRJk3LbApHTYpgSNXzY5KE,1.087316313
CiTYUYPAPHdcri5yEfsmqVcs54J6j8X1QaiFLgYqMVe,13503.671387351003
CogentC52e7kktFfWHwsqSmr8LiS1yAtfqhHcftCPcBJ,452402.27691104397
CrLn7zEBytbmRBUGhkDyyUbGCa6H7bMCnw94Dip8QbcJ,0
CwSZ17woioM2bqEbaswZJYvx5pemN6t3shBcU6zqPHyG,3.841140869
CzmqDuqEpfnkptuLAcikmJrhCnhFXo8aUBj6Rto1SPAc,110.478383927
D6HbUn4FeyZWiY5ftTAxK1TXmvCLjBoPG9nRsr8z8y5g,0
DBtox5xnHr4zWFfpCYbdu81b6Sfk2kcUZ7x4uxs5kANV,0
DHnoGrcm2oecMuWpyYjwxzYoEW3vJdivGtV4favEp3R4,0
DM8eVQwKYpFUq4MAC1XEeZMjV4T34LfvGkK9vca55GaY,683.669964698
DMSuZcavta8L1w1tSiH8bALWjz6Q6KSryGG6m6Az4Qt5,0
DPmsofVJ1UMRZADgwYAHotJnazMwohHzRHSoomL6Qcao,0
DciShieqLiMBjfqxiJ66F9b9fckJusbqFFnwJiG9jKmg,0
Dcoj98wWiKhA4iqxcSg7NtuR2miA7tZqtycMdkPo8XDw,59.52649117
DfpdmTsSCBPxCDwZwgBMfjjV8mF8xHkGRcXP8dJBVmrq,19.993018158
Dh4K8fNV6pRFZtbzQnP5a5HmyBPb2kmxvWiYmc5fJMvj,0
DimavhUqvCpWjUZqSFZGLqBiUVUYQ5jZEaCHutKKVs45,7000
DnHUCbu4unnxGukqp5hJWZL6a1P5Msb491f6iybbRCF5,0
DriFTm3wM9ugxhCA1K3wVQMSdC4Dv4LNmyZMmZiuHRpp,1.821713394
DsUdRakvTvtDQqqWyN8vzTJURjAJ23rakfJoxGgqS2DH,100018.926384594
DsiG71AvUHUEo9rMMHqM9NAWQ6ptguRAHyot6wGzLJjx,531.491187401
DumiCKHVqoCQKD8roLApzR5Fit8qGV5fVQsJV9sTZk4a,455234.248081662
