"vote_account","minimum_stake","avg_stake","avg_dc_concentration","avg_skip_rate","avg_grace_skip_rate","max_commission","avg_adjusted_credits","dc_aso","mnde_votes","target_stake_msol","normalized_dc_concentration","normalized_grace_skip_rate","normalized_adjusted_credits","score","eligible_stake_algo","eligible_stake_msol","ui_hints","rank","in_algo_stake_set","eligible_stake_mnde","mnde_power","target_stake_mnde","target_stake_algo","target_stake"
"EFEKcHrUBsRoQkuTSJAQNZnj1u8h9oE4LoCYerednc3F",18727.637626888,28381.1454185963,0.000235440208137608,0.277994227994228,0.0610715649076913,7,305816.55,"Online S.a.s.",0,0,0.998820645729515,0.911343455282563,0.813883033932136,0.84983192969715,1,1,"",615,0,1,0,0,0,0
"2NxEEbhqqj1Qptq5LXLbDTP5tLa9f7PqkU8zNgxbGU9P",135919.64447221,142439.662456224,0.0736921347763741,0.0408239383815443,0.0408239383815443,5,332360.92,"PACKET",0,0,0.630865371139549,0.940736587900837,0.884526733200266,0.849825743244815,1,1,"",616,0,1,0,0,0,0
"AAhcGqPdM9WdjhVH6T4vAQLvoDFrYQqirkxCdvxoKhgp",62462.395900269,64368.9997117372,0.0243308140851818,0.101187005804653,0.0707404362022893,10,315336.42,"IS-AS-1",0,0,0.878123410938481,0.897307320436627,0.839218682634731,0.849672382204684,1,1,"",617,0,1,0,0,0,0
"HZPcvG4ykhEkRJP3uEhCqYWehWxt4iWGv1cEmxZyweUA",60453.497597316,63088.9467413492,0.0354283001606752,0.0876681545223745,0.0655604658251467,10,319223.79,"WEBNX",0,0,0.822534487966004,0.904826994708447,0.849564311377245,0.849656852647147,1,1,"",618,0,1,0,0,0,0
"5mUKu45ufC2wHqt9fvpZDLgGxb4ErfHz1E6kNfj4ivDt",103.26871712,49979.3394855753,0.0354283001606752,0.199891581138384,0.072256092360193,10,319561.92,"WEBNX",0,0,0.822534487966004,0.895107068352985,0.850464191616766,0.849601381573281,0,0,"NOT_ELIGIBLE_ALGO_STAKE_MIN_STAKE_BELOW_1000",619,0,1,0,0,0,0
"6ywtN5KvEmTqdsynVraiUWGD4pxr3WQEKrWQZ4f9c5Xo",45295.212453693,73969.1627125424,0.0354283001606752,0.213300501613228,0.0825920829553047,10,320112.36,"WEBNX",0,0,0.822534487966004,0.880102487845189,0.851929101796407,0.849574037057021,1,1,"",620,0,1,0,0,0,0
"F5XcsWb5YCA39hLGP1tpUZDScTTgn1k2UeHXyaFpGXMj",86998.314232351,89012.0267614793,0.0354283001606752,0.136237022893201,0.0780764389079808,10,319799.43,"WEBNX",0,0,0.822534487966004,0.886657770962868,0.85109628742515,0.849437663165106,1,1,"",621,0,1,0,0,0,0
"8GERjfptn6PXXEPVmRbJQ3KwESf2wLbamFk71LGsQHcZ",44430.950500432,62145.1642401623,0.020307455899806,0.177067669172932,0.0445693366909143,10,312228.09,"myLoc managed IT AG",0,0,0.898276997682008,0.935299457327858,0.830946347305389,0.849332071211213,1,1,"",622,0,1,0,0,0,0
"B6AsRAEeNoic8ipRg7JPXPwLFJbQorGz8v1SmBxkyQvj",77665.874895481,79552.6151237663,0.0354283001606752,0.149416664959261,0.0861160576201032,10,320124.15,"WEBNX",0,0,0.822534487966004,0.874986794184399,0.851960479041916,0.849204658502736,1,1,"",623,0,1,0,0,0,0
"dm2s5zdPPcBrW4rCn94wQfxqo862VXacRgVKuukeypx",60330.793277138,62994.8024481286,0.0243308140851818,0.146234176054685,0.0700869533419177,10,315052.47,"IS-AS-1",0,0,0.878123410938481,0.898255970311904,0.838462994011976,0.849164056331433,1,1,"",624,0,1,0,0,0,0
