vote_account,minimum_stake,avg_stake,avg_dc_concentration,avg_skip_rate,avg_grace_skip_rate,max_commission,avg_adjusted_credits,dc_aso,mnde_votes,target_stake_msol,normalized_dc_concentration,normalized_grace_skip_rate,normalized_adjusted_credits,score,eligible_stake_algo,eligible_stake_msol,ui_hints,rank,in_algo_stake_set,eligible_stake_mnde,mnde_power,target_stake_mnde,target_stake_algo,target_stake
BH7asDZbKkTmT3UWiNfmMVRgQEEpXoVThGPmQfgWwDhg,235169.025970316,238663.917410509,0.0029592506854811,0.0477931409326443,0.0477931409326443,5,334917.18,M247 Europe SRL,0,0,0.985176682602492,0.930619515928793,0.891329820359282,0.908790083440507,1,1,"",45,1,1,0,0,25411,25411
EPWrFd8jJ4SLA1YtcZcRAsAMxmnikSVqbumerCq5yV6z,236110.57348327,257360.457213038,0.0266392516012659,0.0707554359691125,0.0707554359691125,0,344574.7,LATITUDE-SH,0,0,0.866560111431239,0.897285545532052,0.917031803060546,0.90774798453846,1,1,"",46,1,1,0,0,25382,25382
7PmWxxiTneGteGxEYvzj5pGDVMQ4nuN9DfUypEXmaA8o,233373.225034142,247694.445052887,0.00342927886868656,0.0546484084258975,0.0546484084258975,5,334757.77,M247 Europe SRL,0,0,0.982822243021009,0.920667841528699,0.890905575515635,0.907336006363621,1,1,"",47,1,1,0,0,25371,25371
Luck3DN3HhkV6oc7rPQ1hYGgU3b5AhdKW9o1ob6AyU9,2742.532761044,16705.0575176042,0.00234058664374372,0.0479166666666667,0.0294605231041526,6,329738.934,Latitude.sh LTDA,4000000000000,0,0.98827566083306,0.957232663221743,0.877548726546906,0.900713173104379,1,1,"",54,1,1,0.000180264658341643,169,25186,25355
BEARSLRLiizzRK7oJzhDUoPCzP1EG7Xt1WqCLL7zeN81,52146.826001994,53929.3528795979,0.0234380825347596,0.109563006223223,0.0556955094588032,2,340796.862,LATITUDE-SH,0,0,0.882595233210114,0.919147782894409,0.906977676646707,0.90416269352167,1,1,"",49,1,1,0,0,25282,25282
GvZEwtCHZ7YtCkQCaLRVEXsyVvQkRDhJhQgB6akPme1e,2695168.4491687,2713425.53059843,0.0563890417767303,0.0621732340870614,0.0621732340870614,0,353353.5,PACKET,0,0,0.717539082410689,0.909744181004717,0.940395209580838,0.903751880125729,1,1,"",50,1,1,0,0,25271,25271
FnAPJkzf19s87sm24Qhv6bHZMZvZ43gjNUBRgjwXpD4v,144755.251024994,148305.567974911,0.000590182055620981,0.0636849123380639,0.0504749829216297,5,330954.73,LEVEL3,0,0,0.997043692183394,0.926726331849084,0.880784377910845,0.902204422717255,1,1,"",51,1,1,0,0,25227,25227
4MpRU9fDDSQNNTeb4v5DPZZTKupYancGksH679AKLBnt,131044.313659651,135982.341497128,0.00756404907875689,0.0321092705943127,0.0321092705943127,5,332167.12,LATITUDE-SH,0,0,0.962110577229955,0.953387521859122,0.884010964737192,0.901362947976227,1,1,"",53,1,1,0,0,25204,25204
6JfBwvcz5QUKQJ37BMKTLrf968DDJBtwoZLw19aHwFtQ,112641.663731428,115663.505921966,0.00225915720996212,0.040267232789173,0.040267232789173,7,328410.621,Amarutu Technology Ltd,2100305628027,0,0.988683552718788,0.941544747873799,0.874013628742515,0.896849856979733,1,1,"",55,1,1,0.0000946389456293624,89,25078,25167
Ev3gPXRo6TJeQ2QhxfqWFoasdoGbmDytYvJbUabEHfLf,65253.719355707,89131.4496518171,0.124640788901432,0.0665500267612766,0.0522670005431807,0,374032.2,OVH SAS,3000000000000,0,0.375656147136686,0.924124890562298,0.995428343313373,0.894593893689954,1,1,"",58,1,1,0.000135198493756232,127,25014,25141
81LF3sFyx9aANNhZPTyPEULKHV1mTqd3qho7ZLQghNJL,134748.616574153,139579.358944348,0.0258199538394591,0.0542568847824257,0.0525619837184542,5,337923.835,marbis GmbH,0,0,0.870664093167533,0.923696668539348,0.899331563539588,0.896795422328484,1,1,"",56,1,1,0,0,25076,25076
4nCK62aZ126pC1krepWXXxgBJGgPUGEWni2iCABZop81,87244.827952424,89259.5644833795,0.00202344397789445,0.0461165028212242,0.0432792801137652,10,319799.88,HVC-AS,10999999548133,0,0.989864274605878,0.937172210364282,0.85109748502994,0.879067354605803,1,1,"",103,1,1,0.000495727810439517,466,24580,25046
CrLn7zEBytbmRBUGhkDyyUbGCa6H7bMCnw94Dip8QbcJ,102943.451510096,109868.798147056,0.000344936532511802,0.0514768214065222,0.0483598391210423,10,327422.085,JSC Ufanet,0,0,0.99827216270372,0.929796849875337,0.871382794411178,0.895397624568812,1,1,"",57,1,1,0,0,25037,25037
59k9CiZ7L1bpEivLrAtaMPMgw18syZ4RQsJUo3hbbj8x,34438.645451342,48643.4907829779,0.132257059462623,0.0420898494350507,0.0381280891789422,0,375750,LATITUDE-SH,0,0,0.337505139360381,0.944650106012633,1,0.893820029594876,1,1,"",59,1,1,0,0,24993,24993
E8P6asEbbkar5kMLHpCGswDgny8PwBqjRTVxdTmV8XEE,8243.826973776,8634.2479889368,0.000590182055620981,0.1375,0.0201485042977811,8,325125.056,LEVEL3,0,0,0.997043692183394,0.970750761422838,0.865269610113107,0.893656480532361,1,1,"",60,1,1,0,0,24988,24988
