"vote_account","minimum_stake","avg_stake","avg_dc_concentration","avg_skip_rate","avg_grace_skip_rate","max_commission","avg_adjusted_credits","dc_aso","mnde_votes","marinade_stake","version","target_stake_msol","normalized_dc_concentration","normalized_grace_skip_rate","normalized_adjusted_credits","rank_dc_concentration","rank_grace_skip_rate","rank_adjusted_credits","score","blacklisted","ui_hints","eligible_stake_algo","eligible_stake_msol","rank","in_algo_stake_set","eligible_stake_mnde","mnde_power","target_stake_mnde","target_stake_algo","target_stake"
"CGj63fS6gJXm8KvaUkkL5yAZvH9cjeRgHCgJwcZZEsRd",80899.154615362,82534.6347042632,0.128210707327532,0.0602061447324605,0.0211283631309098,10,364270.59,"OVH SAS",0,0,"1.13.6",0,0.346103074599795,0.973462290888314,0.884923433245684,1912,1973,400,0.808838674811134,0,"NOT_ELIGIBLE_MNDE_STAKE_SCORE_TOO_LOW",1,1,1187,0,0,0,0,0,0
"26WLNWKrYSyPkQF2NU9LgLSRXGiXWjhPnvspG8ibFh63",84613.810109427,86308.7787317269,0.128210707327532,0.0244242424242424,0.0128127980888187,10,363835.53,"OVH SAS",3041303222315,0,"1.13.6",0,0.346103074599795,0.983906831471937,0.883866540925973,1912,1279,777,0.808829106917789,0,"NOT_ELIGIBLE_MNDE_STAKE_SCORE_TOO_LOW",1,1,1188,0,0,0,0,0,0
"HsUhGC6yKwr8kLC5gdqVLrDfKsGCd2ZAXiabP1WojuzA",80618.40095354,82330.3088192471,0.128210707327532,0.0399218928001823,0.0191854637415667,10,364138.02,"OVH SAS",0,0,"1.13.6",0,0.346103074599795,0.97590261712221,0.884601380621163,1912,1842,615,0.808778659425649,0,"NOT_ELIGIBLE_MNDE_STAKE_SCORE_TOO_LOW",1,1,1189,0,0,0,0,0,0
"3Rv2AfJuaunDHePFPGiDkN828nwzsbcZ5nM8jNdW2i2a",80145.956313692,81512.5651718871,0.128210707327532,0.0625056820974004,0.0214394241492283,10,364249.08,"OVH SAS",0,0,"1.13.6",0,0.346103074599795,0.973071591108639,0.884871178950192,1912,2005,427,0.808768425370011,0,"NOT_ELIGIBLE_MNDE_STAKE_SCORE_TOO_LOW",1,1,1190,0,0,0,0,0,0
"J1r9rLo71mG7eTpX1jiYi7vyLE3QMZ4PCBXYJJfXYsp6",80489.878512078,81798.7210353775,0.128210707327532,0.0614565738207042,0.0242068849026136,10,364386.87,"OVH SAS",0,0,"1.13.6",0,0.346103074599795,0.969595596873009,0.885205912533452,1912,2157,252,0.808758528569778,0,"NOT_ELIGIBLE_MNDE_STAKE_SCORE_TOO_LOW",1,1,1191,0,0,0,0,0,0
"9SE5oHdQ88rVFPcJZjn7fNGSXhU7JQfZ5Vks1h5VNCWj",89146.227931041,90941.3053959776,0.128210707327532,0.0260602766798419,0.0207935995345019,10,364208.76,"OVH SAS",0,0,"1.13.6",0,0.346103074599795,0.97388276165018,0.884773229475795,1912,1948,494,0.80875547735444,0,"NOT_ELIGIBLE_MNDE_STAKE_SCORE_TOO_LOW",1,1,1192,0,0,0,0,0,0
"FLocyJ8N1BynUs9MPMVbGYEbH2GMxsdacsbXb4N3S5cq",79912.076763918,81699.7046667127,0.128210707327532,0.0510484881558736,0.0242830853874789,10,364389.12,"OVH SAS",0,0,"1.13.6",0,0.346103074599795,0.969499887314772,0.885211378463943,1912,2162,250,0.808755370857984,0,"NOT_ELIGIBLE_MNDE_STAKE_SCORE_TOO_LOW",1,1,1193,0,0,0,0,0,0
"7DCb5VuNx9XFqsaEgERyb5mwwRunDNtLRudCEoqhcz6N",80582.987704756,82352.61767443,0.128210707327532,0.0385577689854006,0.0195773521021647,10,364142.79,"OVH SAS",0,0,"1.13.6",0,0.346103074599795,0.975410396345174,0.884612968393804,1912,1875,604,0.808749709960215,0,"NOT_ELIGIBLE_MNDE_STAKE_SCORE_TOO_LOW",1,1,1194,0,0,0,0,0,0
"6sHtpsxU8KPY5cd6EbutSBUGaXnwu8r3voM3kgjSKoW9",80638.051243075,82311.0398724549,0.128210707327532,0.0343764005602241,0.019704160615396,10,364145.4,"OVH SAS",0,0,"1.13.6",0,0.346103074599795,0.97525112194156,0.884619308873173,1912,1883,601,0.808742335374837,0,"NOT_ELIGIBLE_MNDE_STAKE_SCORE_TOO_LOW",1,1,1195,0,0,0,0,0,0
"53fAQnWfTPoTQUb3AwPsUZsTTe4djRHmW8U8yztvVF8G",80890.537302144,82527.624374215,0.128210707327532,0.063903379028379,0.0228690808214528,10,364304.88,"OVH SAS",0,0,"1.13.6",0,0.346103074599795,0.97127590950936,0.885006734026365,1912,2081,347,0.808734569151738,0,"NOT_ELIGIBLE_MNDE_STAKE_SCORE_TOO_LOW",1,1,1196,0,0,0,0,0,0
