vote_account,minimum_stake,avg_stake,avg_dc_concentration,avg_skip_rate,avg_grace_skip_rate,max_commission,avg_adjusted_credits,dc_aso,marinade_stake,version
646hXimsiNv2wsTm8hSXpuVCYHePXoaTz5gbqxMo9s6N,2.20802991,7925.8372927576,0.09148273237402134,0.11666666666666665,0.004692942002989908,100,148270.05,Unknown,0.0,1.17.20
W8YSPJsYXo85ScMVDsB9eDwPkJakUiLpGVT57T59QKb,2.210036429,11390.0031420549,0.004338527949908877,0.10909090909090909,0.004692942002989908,100,148268.16,Unknown,0.0,1.17.20
DWAFcBPRPy7hQd8hLxq4fUCC2Mqyq7jBuXgE7u9y68Xz,2.211580892,36086.2588409075,0.09148273237402134,0.04770833333333333,0.006264111587913441,100,148268.16,Unknown,0.0,1.17.20
AHg7JXj55mGeTSPKhGr58JqTQg7tKGXh4YLENHmJT9iR,294.248829402,35717.2132527295,0.030406572808336446,0.07622222222222223,0.005471361243742695,100,148267.89,Unknown,0.0,1.17.20
6R7fvt5tXqfHnBdkKVk4h8kZQfCSTNJCrHcjG6b6sATN,99.386581006,35779.7740863734,0.030406572808336446,0.1,0.004692942002989908,100,148266.9,Unknown,0.0,1.17.20
EGBgQTjmf5ao4gRpeT2npRpVJQB5EvK3FKHpVz6jAkiA,114.910750467,35839.8878201175,0.030406572808336446,0.05,0.0014719244445036014,100,148264.47,Unknown,0.0,1.17.20
BBXLiDyJiBxcKywtMxkqCNeruhZVDXA7ZmYYfQ25P2ay,70.895355936,29658.1239176674,0.030406572808336446,0.07738636363636364,0.008801241085330726,100,148252.41,Unknown,0.0,1.17.20
7AfLHaq8ayESpgm9AcgKKBkfv8kpNJH1fKpdk2gVg3Xe,70.885864125,35542.7850292896,0.030406572808336446,0.07197802197802197,0.00669436936575038,100,148251.96,Unknown,0.0,1.17.20
FQee9TUG7ZycM3Yvp1PHyPpkWr2nBL2SzacGBQpe9ZKz,114.032199711,34359.849264421,0.030406572808336446,0.10104166666666665,0.0025135911111702643,100,148250.88,Unknown,0.0,1.17.20
CRMxU8GnpJCNUSc6UAHys21K3VXsfZs2SaMPHZCw1QNV,115.007702532,35753.1252737619,0.030406572808336446,0.026388888888888885,0.0028608133333924853,100,148246.74,Unknown,0.0,1.17.20
2hcdPVHseafWnk8j4vFbLBS6yjR3AvKotkYwwf8Ng71o,99.681685464,35509.9071366079,0.030406572808336446,0.11514945652173914,0.007342398524729043,100,148246.29,Unknown,0.0,1.17.20
BgHCEjv2ZmmWYGdKP7sow2MrtCkLo4iiEadMidxyusqL,115.058969086,35779.9661046687,0.030406572808336446,0.0012499999999999955,0.0012499999999999955,100,148241.79,Unknown,0.0,1.17.20
4Z9setwbk4aJDrsDnTqrGTUdB7kyvrpwwRf5Ko9gjsqH,2.211737557,29675.5661321174,0.030406572808336446,0.10227272727272727,0.0033832282341010726,100,148240.17,Unknown,0.0,1.17.20
37L9VjKfUFdpx4Jqp5MnuSkmhFFo6cA6oLyZ3rjyYLwa,67.767782131,35188.7711191121,0.018829285392798305,0.10555555555555556,0.0033832282341010726,100,147241.35,Unknown,0.0,1.17.20
2Za2N8vfTZpXuVbDGqySJCEaXroMX59NjWfa66uGM944,70.428803578,35173.3127369091,0.018829285392798305,0.10952380952380954,0.0033832282341010726,100,147201.84,Unknown,0.0,1.17.20
8NGHra5ExC6zy2dBXc92MwDTrDCtmJXZaGRMRihar5SP,106.127140573,106.241027398,0.03853038844408569,0.0,0.0,10,146763.81,AS-CHOOPA,0.0,1.17.20
7xSQKGWBwASNFVzBHyJnS1Vivhu5Ha6m14RfkToYPEyx,10791.558552502,10802.9792422754,0.03942122818036278,0.05,0.00479829601906522,100,143784.81,IS-AS-1,0.0,1.17.22
J9gTKZ9mS5xW1iAgyczwxbsZzigp9WyBQCyY6bKuXMcn,508.928579172,8892.7263041697,0.030406572808336446,0.08428571428571428,0.007801322762594728,100,143649.63,Unknown,0.0,1.17.20
5kJituZ6Jg99XUT2CQP4GRgCmhJqF1DVbZcYk6aAHdTx,16084.705082724,16360.0211109903,0.004497282803947733,0.3142857142857143,0.01138853788474547,100,117395.19,HOSTING-SOLUTIONS,0.0,1.17.20
Ae8UD1RQBAR7PcyTJjmEsypojpuKmMGDBJxwiZorZA2M,582.685444076,582.7557271696,0.06357931995554497,0.0,0.0,100,112405.86,WEBNX,0.0,1.17.22
F7oKL1VEeL5YGNwyFZABpiBiT6i6N11HYJex7jGKSpeZ,158.804939259,33082.5747342152,0.09148273237402134,0.1,0.0020339843505619705,100,111617.19,Unknown,0.0,1.17.20
GWE9XszRqvos1GhqrjG8LKD3ZTgXWzsS4gQNJzkz2Wmp,226.753470927,31318.5271812789,0.09148273237402134,0.0025000000000000022,0.002001427362760472,100,111613.05,Unknown,0.0,1.17.20
9ZzkAEYFNGKHQefuiSJnZm6JEq5JwLD4Vm8NJbsGzeqF,2.207100522,8445.3318052163,0.039729455237073254,0.08625000000000001,0.0034733518072640733,100,111611.43,Unknown,0.0,1.17.20
C4YfFSD2tgwmWN3gvewpmqEFsS8DTnN59puS7xLg3VHj,0.003156659,8812.3039395871,0.09148273237402134,0.11333333333333333,0.004168083527020069,100,111609.27,Unknown,0.0,1.17.20
B1rr3WM3fYZMaaUQ8SrMzdUojTWExubWKikL5CJgeGdP,2.208852267,33138.7048630583,0.09148273237402134,0.005506993006993,0.0026834739075156456,100,111608.37,Unknown,0.0,1.17.20
HoCWouds6KMeG2R3bncdeoj3B2Tsm5DBKMF5HgXUkQVq,2.209873444,30871.1895237067,0.09148273237402134,0.0050000000000000044,0.0026961590825164672,100,111608.1,Unknown,0.0,1.17.20
FzWY14JRyemkT7Yhng4s9BBmqJwL5pGSHpiLEW8LAWB2,362.575921229,10525.1258205877,0.0023633860275932093,0.00714285714285714,0.004942953004463495,100,111607.38,Unknown,0.0,1.17.20
A4hHNvkF2eDKhzZWehEBDzAcsMTcMUVXJypBgtk9TpDK,2.209791628,11648.3272865258,0.030406572808336446,0.06666666666666668,0.0014719244445036014,100,110345.49,Unknown,0.0,1.17.20
2XL7RDWecgThmcVbs2XDFXnXdyWb7FEHcn1mhzitTDko,100.095775256,11603.2148870263,0.030406572808336446,0.08995726495726496,0.005381237670579696,100,110339.37,Unknown,0.0,1.17.20
