vote_account,minimum_stake,avg_stake,avg_dc_concentration,avg_skip_rate,avg_grace_skip_rate,max_commission,avg_adjusted_credits,dc_aso,mnde_votes,target_stake_msol,normalized_dc_concentration,normalized_grace_skip_rate,normalized_adjusted_credits,rank_dc_concentration,rank_grace_skip_rate,rank_adjusted_credits,score,blacklisted,ui_hints,eligible_stake_algo,eligible_stake_msol,rank,in_algo_stake_set,eligible_stake_mnde,mnde_power,target_stake_mnde,target_stake_algo,target_stake
6mBPtjzc3tWBSDFvJEBnidhpf3bqPoLk7nP9STWyzdzv,17909.996200073,18512.484283983,0.00198924778690694,0.0491666666666667,0.0318371434297119,8,332845.42,HVC-AS,0,0,0.990140496488859,0.958871896739682,0.868711043182723,337,626,162,0.894327947811126,0,"",1,1,77,1,1,0,0,25069,25069
ASrBTnxfvt8uY164wRrM9xXP925yoHzoRBnVYU5s7DEs,68478.157166867,72318.3932173843,0.00273784042752504,0.0744764291716271,0.04841060925555,8,332998.232,OOO NIIR-RadioNet,0,0,0.986430173512924,0.937461834766902,0.869109875385164,378,1355,158,0.892416995049568,0,"",1,1,79,1,1,0,0,25016,25016
6559KMdiUseNSAkRcK9WcFcNTppoj6jWtKVedpMkBYCn,98205.127983175,103735.440620841,0.0264464523204538,0.0654314521463022,0.056597837971362,10,342367.31,LATITUDE-SH,0,0,0.868920859820997,0.926885346057003,0.893562732579474,1258,1665,113,0.892334953191826,0,"",1,1,80,1,1,0,0,25013,25013
F2bcoVhE2he5DCruN4PKkWAriNXs2VWty94n9CCdWZ8s,68564.763000267,72404.4999825671,0.00273784042752504,0.0622573187046871,0.050512149287883,8,332934.292,OOO NIIR-RadioNet,0,0,0.986430173512924,0.934747007174209,0.868942994963312,378,1439,160,0.892079792602552,0,"",1,1,81,1,1,0,0,25006,25006
StepeLdhJ2znRjHcZdjwMWsC4nTRURNKQY8Nca82LJp,210660.731108754,213029.389868889,0.0360371845132221,0.0522117839184863,0.0522117839184863,7,345624.456,AS-CHOOPA,0,0,0.821385375126028,0.932551372105799,0.90206373193064,1283,1493,93,0.89199688012802,0,"",1,1,82,1,1,0,0,25004,25004
FUXPuLmdHMLfwEoHJPrtPj1cLJbyEYGZdkomXsNa7u3L,797313.614366322,799606.079189206,0.0326072478103774,0.041270542567189,0.041270542567189,5,343608.16,AMAZON-AES,0,0,0.838385506123923,0.946685570580159,0.89680129328412,1276,1069,102,0.891651501205324,0,"",1,1,83,1,1,0,0,24994,24994
D7A2eMsi2MTpmRFRN14s3GvA6ExsEfrXL3CkkK3hWEGA,62475.196911667,67692.7612202434,0.000523019686736716,0.0166815782256959,0.0166815782256959,10,329696.73,JSC Avantel,0,0,0.997407706334164,0.978450275436106,0.860493108939978,219,174,200,0.890630521346478,0,"",1,1,84,1,1,0,0,24966,24966
3TZAkZtKuQe1B3wffyke6WNy9Z7cLVY9xhR3qT1hVEqv,65021.980372427,78558.1670733901,0.0127303268653196,0.0965836120401338,0.0484601032339475,5,335745.77,RELIABLESITE,0,0,0.936903434930167,0.937397897075419,0.876280821592458,852,1359,143,0.890308690989256,0,"",1,1,85,1,1,0,0,24957,24957
DUCKsGEPEdNv9QeskPNwoJdWgAXjxUFrkNDEKjAnLWyY,62595.998857833,66713.5124384721,0.000523019686736716,0.0148700184255104,0.0136599736260395,10,329254.11,JSC Avantel,0,0,0.997407706334164,0.982353667907886,0.859337891355991,219,132,308,0.890042153395086,0,"",1,1,86,1,1,0,0,24949,24949
H7CfFGvmUHWvryBKAaVibVxz85SYmWyoECx3CjLHq3zC,66750.323034258,70572.1544091339,0.00889123799815266,0.0431168831168831,0.0239681980303251,8,332788.564,Inetcom LLC,0,0,0.955931486847355,0.969037218250083,0.868562651670919,653,340,163,0.889732823742614,0,"",1,1,87,1,1,0,0,24940,24940
