"vote_account","minimum_stake","avg_stake","avg_dc_concentration","avg_skip_rate","avg_grace_skip_rate","max_commission","avg_adjusted_credits","dc_aso","mnde_votes","target_stake_msol","normalized_dc_concentration","normalized_grace_skip_rate","normalized_adjusted_credits","rank_dc_concentration","rank_grace_skip_rate","rank_adjusted_credits","score","blacklisted","ui_hints","eligible_stake_algo","eligible_stake_msol","rank","in_algo_stake_set","eligible_stake_mnde","mnde_power","target_stake_mnde","target_stake_algo","target_stake"
"CLheCY8APDtyeT9ipzY23dkLxB3efaLEvS93w6RTfw6L",3998.094827369,10764.7311351216,0.00409942961949495,0.12,0.0299830314675977,100,0,"Hetzner Online GmbH",0,0,0.979681595730247,0.961387479432866,0,445,1059,1663,0.224673128530258,0,"NOT_ELIGIBLE_ALGO_STAKE_MAX_COMMISSION_OVER_10,NOT_ELIGIBLE_MNDE_STAKE_MAX_COMMISSION_OVER_10,NOT_ELIGIBLE_MNDE_STAKE_SCORE_TOO_LOW",0,0,1884,0,0,0,0,0,0
"4kmocZb36aCQ4gNfmi9ijsqqmRuhRK66adF9PvtoKgC4",4126.762487323,10931.3953529702,0.00409942961949495,0.0804166666666667,0.0305296645474434,100,0,"Hetzner Online GmbH",0,0,0.979681595730247,0.960683518558828,0,445,1097,1663,0.224618977693794,0,"NOT_ELIGIBLE_ALGO_STAKE_MAX_COMMISSION_OVER_10,NOT_ELIGIBLE_MNDE_STAKE_MAX_COMMISSION_OVER_10,NOT_ELIGIBLE_MNDE_STAKE_SCORE_TOO_LOW",0,0,1885,0,0,0,0,0,0
"7gds7PbCzmHbJStjxA5L5K8cu2LVUakmd3MDXFHSfcic",4590.802866724,11292.2147435151,0.00409942961949495,0.195833333333333,0.0305919998533494,100,0,"Hetzner Online GmbH",0,0,0.979681595730247,0.96060324237715,0,445,1102,1663,0.224612802602896,1,"BLACKLIST_COMMISSION_RUG,NOT_ELIGIBLE_ALGO_STAKE_MAX_COMMISSION_OVER_10,NOT_ELIGIBLE_MNDE_STAKE_MAX_COMMISSION_OVER_10,NOT_ELIGIBLE_MNDE_STAKE_SCORE_TOO_LOW",0,0,1886,0,0,0,0,0,0
"7vJeGJzbaa3bghTsPsFi83T6VCy5uLaQ12r32JA6s8xc",4125.320355017,10712.5801803356,0.00398205308005079,0.0720833333333333,0.0316079905207443,100,0,"Hetzner Online GmbH",0,0,0.980263360561351,0.959294836968471,0,443,1155,1663,0.224601658314706,0,"NOT_ELIGIBLE_ALGO_STAKE_MAX_COMMISSION_OVER_10,NOT_ELIGIBLE_MNDE_STAKE_MAX_COMMISSION_OVER_10,NOT_ELIGIBLE_MNDE_STAKE_SCORE_TOO_LOW",0,0,1887,0,0,0,0,0,0
"DuTUfd5A4X3MvaVqaPXbsrBaR6fCEnopkcNj3k8KSSuo",3791.701135799,10460.5536987437,0.00409942961949495,0.267142857142857,0.0309164273291706,100,0,"Hetzner Online GmbH",0,0,0.979681595730247,0.960185440641651,0,445,1120,1663,0.224580664007857,0,"NOT_ELIGIBLE_ALGO_STAKE_MAX_COMMISSION_OVER_10,NOT_ELIGIBLE_MNDE_STAKE_MAX_COMMISSION_OVER_10,NOT_ELIGIBLE_MNDE_STAKE_SCORE_TOO_LOW",0,0,1888,0,0,0,0,0,0
"FaxFKPhpVB6xc8FRgBYNhEGXrTw7YqUA9HG5ggdHZ3TB",3763.977395388,10652.9416304313,0.000812067868349943,0.42125,0.0562634345425523,100,0,"myLoc managed IT AG",0,0,0.995975068539988,0.927543249727777,0,256,2243,1663,0.224576414369827,0,"NOT_ELIGIBLE_ALGO_STAKE_MAX_COMMISSION_OVER_10,NOT_ELIGIBLE_MNDE_STAKE_MAX_COMMISSION_OVER_10,NOT_ELIGIBLE_MNDE_STAKE_SCORE_TOO_LOW",0,0,1889,0,0,0,0,0,0
"7TFpR2oKki1HJH6NgtMxiX8nqijR38yS539QWxCGVeT6",4229.785700904,11096.3768284253,0.000812067868349943,0.525238095238095,0.0562634345425523,100,0,"myLoc managed IT AG",0,0,0.995975068539988,0.927543249727777,0,256,2243,1663,0.224576414369827,0,"NOT_ELIGIBLE_ALGO_STAKE_MAX_COMMISSION_OVER_10,NOT_ELIGIBLE_MNDE_STAKE_MAX_COMMISSION_OVER_10,NOT_ELIGIBLE_MNDE_STAKE_SCORE_TOO_LOW",0,0,1889,0,0,0,0,0,0
"AeHBkLDeWtMHqrM4uwuewwWKtyKd5aBZAygxZJ3MCjRp",4227.442183769,11089.5231646829,0.000812067868349943,0.668492063492064,0.0562634345425523,100,0,"myLoc managed IT AG",0,0,0.995975068539988,0.927543249727777,0,256,2243,1663,0.224576414369827,0,"NOT_ELIGIBLE_ALGO_STAKE_MAX_COMMISSION_OVER_10,NOT_ELIGIBLE_MNDE_STAKE_MAX_COMMISSION_OVER_10,NOT_ELIGIBLE_MNDE_STAKE_SCORE_TOO_LOW",0,0,1889,0,0,0,0,0,0
"H5H6duWRVWh1Hawicd2FmnHH6uvVsHVdPnfjSCdXAULp",4000.075323473,10774.3350761925,0.00409942961949495,0.166212121212121,0.0312631485915823,100,0,"Hetzner Online GmbH",0,0,0.979681595730247,0.959738928690703,0,445,1132,1663,0.224546316934707,0,"NOT_ELIGIBLE_ALGO_STAKE_MAX_COMMISSION_OVER_10,NOT_ELIGIBLE_MNDE_STAKE_MAX_COMMISSION_OVER_10,NOT_ELIGIBLE_MNDE_STAKE_SCORE_TOO_LOW",0,0,1892,0,0,0,0,0,0
"783PrbTTsMojSJWv64ZCFnQ7mYoDj4oqdsAGXf22XVQs",1629.009567383,5352.1436251353,0.00491677716949782,0.408333333333333,0.0250097355557019,100,0,"Hetzner Online GmbH",0,0,0.97563049606729,0.967792151718657,0,587,745,1663,0.224542549527172,0,"NOT_ELIGIBLE_ALGO_STAKE_MAX_COMMISSION_OVER_10,NOT_ELIGIBLE_MNDE_STAKE_MAX_COMMISSION_OVER_10,NOT_ELIGIBLE_MNDE_STAKE_SCORE_TOO_LOW",0,0,1893,0,0,0,0,0,0
